cst_id,cst_key,cst_firstname,cst_lastname,cst_material_status,cst_gndr,cst_create_date,flag_last
11000.0,AW00011000,jon,yang,Male,Male,2025-10-06,1.0
11001.0,AW00011001,eugene,huang,Male,Male,2025-10-06,1.0
11002.0,AW00011002,ruben,torres,Male,Male,2025-10-06,1.0
11003.0,AW00011003,christy,zhu,Female,Female,2025-10-06,1.0
11004.0,AW00011004,elizabeth,johnson,Female,Female,2025-10-06,1.0
11005.0,AW00011005,julio,ruiz,Male,Male,2025-10-06,1.0
11006.0,AW00011006,janet,alvarez,Female,Female,2025-10-06,1.0
11007.0,AW00011007,marco,mehta,Male,Male,2025-10-06,1.0
11008.0,AW00011008,rob,verhoff,Female,Female,2025-10-06,1.0
11009.0,AW00011009,shannon,carlson,Male,Male,2025-10-06,1.0
11010.0,AW00011010,jacquelyn,suarez,Female,Female,2025-10-06,1.0
11011.0,AW00011011,curtis,lu,Male,Male,2025-10-06,1.0
11012.0,AW00011012,lauren,walker,Female,Female,2025-10-06,1.0
11013.0,AW00011013,ian,jenkins,Male,Male,2025-10-06,1.0
11014.0,AW00011014,sydney,bennett,Female,Female,2025-10-06,1.0
11015.0,AW00011015,chloe,young,Female,Female,2025-10-06,1.0
11016.0,AW00011016,wyatt,hill,Male,Male,2025-10-07,1.0
11017.0,AW00011017,shannon,wang,Female,Female,2025-10-07,1.0
11018.0,AW00011018,clarence,rai,Male,Male,2025-10-07,1.0
11019.0,AW00011019,luke,lal,Male,Male,2025-10-07,1.0
11020.0,AW00011020,jordan,king,Male,Male,2025-10-07,1.0
11021.0,AW00011021,destiny,wilson,Female,Female,2025-10-07,1.0
11022.0,AW00011022,ethan,zhang,Male,Male,2025-10-07,1.0
11023.0,AW00011023,seth,edwards,Male,Male,2025-10-07,1.0
11024.0,AW00011024,russell,xie,Male,Male,2025-10-07,1.0
11025.0,AW00011025,alejandro,beck,Male,Male,2025-10-07,1.0
11026.0,AW00011026,harold,sai,Male,Male,2025-10-07,1.0
11027.0,AW00011027,jessie,zhao,Male,Male,2025-10-07,1.0
11028.0,AW00011028,jill,jimenez,Female,Female,2025-10-07,1.0
11029.0,AW00011029,jimmy,moreno,Male,Male,2025-10-07,1.0
11030.0,AW00011030,bethany,yuan,Female,Female,2025-10-07,1.0
11031.0,AW00011031,theresa,ramos,Female,Female,2025-10-07,1.0
11032.0,AW00011032,denise,stone,Female,Female,2025-10-07,1.0
11033.0,AW00011033,jaime,nath,Male,Male,2025-10-07,1.0
11034.0,AW00011034,ebony,gonzalez,Female,Female,2025-10-07,1.0
11035.0,AW00011035,wendy,dominguez,Female,Female,2025-10-07,1.0
11036.0,AW00011036,jennifer,russell,Female,Female,2025-10-07,1.0
11037.0,AW00011037,chloe,garcia,Female,Female,2025-10-07,1.0
11038.0,AW00011038,diana,hernandez,Female,Female,2025-10-07,1.0
11039.0,AW00011039,marc,martin,Male,Male,2025-10-07,1.0
11040.0,AW00011040,jesse,murphy,Male,Male,2025-10-07,1.0
11041.0,AW00011041,amanda,carter,Female,Female,2025-10-07,1.0
11042.0,AW00011042,megan,sanchez,Female,Female,2025-10-07,1.0
11043.0,AW00011043,nathan,simmons,Male,Male,2025-10-07,1.0
11044.0,AW00011044,adam,flores,Male,Male,2025-10-07,1.0
11045.0,AW00011045,leonard,nara,Male,Male,2025-10-07,1.0
11046.0,AW00011046,christine,yuan,Female,Female,2025-10-07,1.0
11047.0,AW00011047,jaclyn,lu,Female,Female,2025-10-07,1.0
11048.0,AW00011048,jeremy,powell,Male,Male,2025-10-07,1.0
11049.0,AW00011049,carol,rai,Female,Female,2025-10-07,1.0
11050.0,AW00011050,alan,zheng,Male,Male,2025-10-07,1.0
11051.0,AW00011051,daniel,johnson,Male,Male,2025-10-07,1.0
11052.0,AW00011052,heidi,lopez,Female,Female,2025-10-07,1.0
11053.0,AW00011053,ana,price,Female,Female,2025-10-07,1.0
11054.0,AW00011054,deanna,munoz,Female,Female,2025-10-07,1.0
11055.0,AW00011055,gilbert,raje,Male,Male,2025-10-07,1.0
11056.0,AW00011056,michele,nath,Female,Female,2025-10-07,1.0
11057.0,AW00011057,carl,andersen,Male,Male,2025-10-07,1.0
